Field Number,Fe/H Original +.6 dex,Offset Std,Std Original,Original Std,Nearest Interp,Nearest Std,Linear Interp,Linear Std,Cubic Interp,Cubic Std,Regressor Method,Regressor Std,Ivezic Method,Ivezic Std
1,-0.61,0.669,-1.21,0.669,-1.191,0.761,-1.305,0.593,-1.712,2.293,-1.788,0.692,2.999,21.842
2,-0.717,0.662,-1.317,0.662,-0.933,0.484,-1.403,0.648,-1.832,1.886,-1.519,0.726,-1.72,6.305
3,-0.733,0.633,-1.333,0.633,-0.892,0.537,-1.388,0.646,-1.528,1.206,-1.424,0.709,-1.554,4.283
4,-0.763,0.626,-1.363,0.626,-0.928,0.626,-1.425,0.637,-1.588,1.26,-1.47,0.699,-1.631,1.048
5,-0.839,0.627,-1.439,0.627,-0.874,0.427,-1.512,0.629,-1.734,1.421,-1.577,0.691,-1.709,2.569
7,-0.75,0.638,-1.35,0.638,-0.886,0.494,-1.406,0.649,-1.585,1.343,-1.452,0.719,-1.61,0.927
8,-0.909,0.594,-1.509,0.594,-0.985,0.236,-1.584,0.576,-2.102,1.889,-1.72,0.596,-1.825,1.413
9,-0.824,0.627,-1.424,0.627,-0.898,0.536,-1.506,0.63,-1.716,1.38,-1.57,0.689,-1.739,0.692
12,-0.82,0.65,-1.42,0.65,-0.86,0.357,-1.51,0.636,-1.871,1.737,-1.602,0.706,-1.728,5.161
13,-0.808,0.639,-1.408,0.639,-0.893,0.401,-1.473,0.636,-1.852,1.754,-1.568,0.703,-1.748,2.119
14,-0.817,0.622,-1.417,0.622,-0.856,0.433,-1.492,0.629,-1.68,1.319,-1.55,0.685,-1.697,1.462
15,-0.751,0.645,-1.351,0.645,-0.965,0.678,-1.428,0.646,-1.705,1.56,-1.508,0.712,-1.728,1.09
16,-0.822,0.638,-1.422,0.638,-0.864,0.355,-1.498,0.634,-1.802,1.645,-1.576,0.706,-1.74,1.868
18,-0.817,0.628,-1.417,0.628,-1.04,0.799,-1.488,0.622,-1.753,1.512,-1.559,0.691,-1.636,6.336
19,-0.789,0.66,-1.389,0.66,-1.369,1.155,-1.51,0.601,-2.056,1.994,-1.671,0.618,-2.203,1.197
20,-1.173,0.503,-1.773,0.503,-2.34,1.368,-1.84,0.377,-3.092,2.419,-1.982,0.338,-2.345,0.647
21,-0.824,0.621,-1.424,0.621,-1.117,0.706,-1.463,0.617,-1.97,1.929,-1.589,0.688,-1.853,1.349
22,-1.171,0.525,-1.771,0.525,-0.763,0.0,-1.84,0.413,-2.799,2.258,-1.957,0.414,-2.185,0.77
24,-0.793,0.669,-1.393,0.669,-0.882,0.148,-1.426,0.648,-1.883,1.959,-1.586,0.703,-1.87,1.134
26,-0.711,0.643,-1.311,0.643,-0.995,0.359,-1.333,0.657,-1.674,1.719,-1.468,0.712,-1.614,0.78
27,-0.777,0.675,-1.377,0.675,-0.996,0.446,-1.444,0.631,-2.121,2.34,-1.684,0.632,-2.043,5.692
28,-0.717,0.654,-1.317,0.654,-0.951,0.215,-1.364,0.656,-1.817,1.99,-1.506,0.73,-1.697,2.242
29,-0.759,0.637,-1.359,0.637,-0.921,0.25,-1.395,0.649,-1.675,1.598,-1.478,0.715,-1.513,6.304
30,-0.676,0.661,-1.276,0.661,-0.914,0.352,-1.323,0.666,-1.639,1.706,-1.443,0.736,-1.574,4.352
31,-0.816,0.643,-1.416,0.643,-0.946,0.189,-1.47,0.636,-2.062,2.128,-1.674,0.639,-1.965,3.886
32,-0.596,0.657,-1.196,0.657,-0.945,0.335,-1.205,0.662,-1.399,1.496,-1.261,0.759,-1.385,2.717
33,-0.718,0.671,-1.318,0.671,-1.01,0.238,-1.372,0.655,-1.978,2.251,-1.695,0.63,-1.183,15.068
34,-0.793,0.627,-1.393,0.627,-0.941,0.267,-1.433,0.635,-1.737,1.614,-1.535,0.69,-1.613,3.667
35,-0.538,0.667,-1.138,0.667,-0.985,0.311,-1.136,0.654,-1.283,1.494,-1.159,0.776,-1.24,7.506
37,-0.639,0.654,-1.239,0.654,-0.957,0.24,-1.255,0.661,-1.511,1.626,-1.339,0.752,-1.478,3.193
40,-0.626,0.64,-1.226,0.64,-0.951,0.25,-1.227,0.652,-1.405,1.399,-1.288,0.728,-1.412,0.772
42,-0.536,0.662,-1.136,0.662,-0.913,0.285,-1.141,0.658,-1.275,1.39,-1.162,0.768,-1.214,6.653
44,-1.065,0.551,-1.665,0.551,-0.965,0.382,-1.736,0.519,-2.256,1.875,-1.857,0.543,-1.936,1.779
46,-0.768,0.672,-1.368,0.672,-0.988,0.238,-1.428,0.657,-1.994,2.185,-1.606,0.707,-1.642,12.897
48,-0.601,0.693,-1.201,0.693,-0.935,0.223,-1.221,0.656,-1.471,1.975,-1.214,0.827,-1.787,10.466
49,-0.587,0.61,-1.187,0.61,-0.969,0.321,-1.163,0.619,-1.25,1.099,-1.196,0.68,-1.305,0.827
50,-0.783,0.732,-1.383,0.732,-0.763,0.0,-1.609,0.593,-2.24,1.785,-2.02,0.369,4.402,23.466
51,-0.657,0.636,-1.257,0.636,-0.887,0.269,-1.275,0.653,-1.444,1.342,-1.333,0.721,-1.473,0.766
52,-1.019,0.592,-1.619,0.592,-1.265,0.0,-1.724,0.512,-2.978,2.736,-1.913,0.42,-2.165,2.42
53,-0.808,0.637,-1.408,0.637,-1.016,0.747,-1.45,0.643,-1.723,1.547,-1.531,0.708,-1.63,1.18
54,-0.842,0.612,-1.442,0.612,-0.957,0.26,-1.486,0.617,-1.886,1.775,-1.606,0.665,-1.63,6.113
55,-0.756,0.642,-1.356,0.642,-0.856,0.174,-1.407,0.654,-1.721,1.671,-1.504,0.715,-1.662,0.83
56,-1.239,0.453,-1.839,0.453,-1.118,0.146,-1.887,0.363,-3.111,2.59,-2.021,0.359,-2.169,0.531
57,-0.979,0.542,-1.579,0.542,-1.014,0.251,-1.634,0.527,-2.2,1.855,-1.751,0.537,-1.781,1.71
58,-0.79,0.619,-1.39,0.619,-1.166,0.163,-1.464,0.623,-1.951,1.953,-1.622,0.652,-1.571,2.093
59,-0.797,0.614,-1.397,0.614,-1.115,0.198,-1.424,0.629,-1.788,1.727,-1.545,0.669,-1.64,1.128
60,-1.013,0.578,-1.613,0.578,-1.118,0.146,-1.703,0.557,-2.561,2.217,-1.909,0.4,-1.571,4.422
61,-0.976,0.6,-1.576,0.6,-1.173,0.193,-1.658,0.554,-2.544,2.325,-1.868,0.497,-1.962,2.592
63,-1.122,0.548,-1.722,0.548,-1.139,0.217,-1.805,0.46,-2.648,2.282,-1.957,0.48,-2.172,0.753
64,-0.918,0.565,-1.518,0.565,-0.903,0.099,-1.575,0.564,-2.094,1.909,-1.759,0.558,-1.714,6.368
66,-0.816,0.6,-1.416,0.6,-1.006,0.225,-1.464,0.604,-1.837,1.679,-1.569,0.646,-1.489,3.719
68,-0.757,0.592,-1.357,0.592,-1.104,0.213,-1.38,0.605,-1.572,1.221,-1.475,0.647,-1.379,1.809
149,-0.872,0.562,-1.472,0.562,-0.763,0.0,-1.507,0.563,-1.751,1.426,-1.565,0.619,-1.449,9.069
150,-0.885,0.566,-1.485,0.566,-1.257,0.95,-1.515,0.565,-1.922,1.745,-1.61,0.628,-1.747,2.534
156,-0.774,0.65,-1.374,0.65,-1.166,0.174,-1.456,0.634,-1.982,1.893,-1.695,0.638,-0.885,19.999
176,-0.814,0.621,-1.414,0.621,-1.039,0.824,-1.487,0.62,-1.701,1.385,-1.559,0.674,-1.736,0.712
177,-0.743,0.614,-1.343,0.614,-0.9,0.569,-1.387,0.628,-1.474,0.988,-1.428,0.671,-1.572,0.648
178,-0.788,0.632,-1.388,0.632,-1.082,0.88,-1.468,0.632,-1.706,1.45,-1.535,0.692,-1.724,0.733
246,-0.534,0.665,-1.134,0.665,nan,nan,-1.553,0.609,-2.787,2.31,-1.964,0.353,1.38,9.205
